# translation_extract.txt - user-visible Chinese in .kt / .xml / string resources
# Format: unique_id | chinese_string | file:line
# Excludes: // comment-only lines, Log/println/Timber, package/import lines.
# LocalizedStrings.kt: id is i18n_<key> (same-line zh branch or block if (zh) { multiline }).

i18n_topic_icon_label | 图标 Emoji | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:85
i18n_topic_name_label | 显示名称 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:86
i18n_topic_summary_guide_label | 摘要引导（行为摘要 placeholder） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:87
i18n_topic_body_guide_label | 正文引导（正文 placeholder） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:88
i18n_topic_secondary_manage | 二级课题管理 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:89
i18n_topic_secondary_add | 添加 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:90
i18n_topic_secondary_edit | 编辑二级课题 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:91
i18n_topic_secondary_name_label | 名称（必填） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:92
i18n_topic_advanced_settings | 高级设置：引导词 ▾ | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:93
i18n_topic_secondary_guide_hint | 可选引导词（显示在分类选择下方） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:94
i18n_widget_nav | Widget 设置 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:95
i18n_tools | 工具 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:96
i18n_data_export | 数据导出 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:97
i18n_data_import | 数据导入 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:98
i18n_backup_status | 备份状态 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:99
i18n_language_nav | 语言 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:100
i18n_annual_review | 年度回顾 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:101
i18n_data_analysis | 数据分析 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:102
i18n_soon | 即将推出 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:103
i18n_view_privacy_policy | 查看隐私政策 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:104
i18n_delete_irreversible_short | ⚠️此操作不可恢复 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:105
